date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:55:28	1053/1053	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Jan%202020%2005:55:27%20GMT	http://localhost/robots.txt		(from )
13:55:30	77279/77279	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Jan%202020%2005:55:27%20GMT	http://localhost/wppetstore.com/	C:/My%20Web%20Sites/wpPetStore/localhost/wppetstore.com/index.html	(from )
13:55:30	85855/85855	---M--	200	added ('OK')	text/css	etag:%2214f5f-59bb6f98cba87%22	http://localhost/wppetstore.com/wp-content/themes/astra/assets/css/minified/style.min.css?ver=2.2.1	C:/My%20Web%20Sites/wpPetStore/localhost/wppetstore.com/wp-content/themes/astra/assets/css/minified/style.min77e6.css	(from http://localhost/wppetstore.com/)
13:55:32	1664/1664	---M--	200	added ('OK')	application/rss+xml	etag:%222e8c217888115c9b7ee04460a0c86668%22	http://localhost/wppetstore.com/feed/	C:/My%20Web%20Sites/wpPetStore/localhost/wppetstore.com/feed/index.html	(from http://localhost/wppetstore.com/)
13:55:32	1660/1660	---M--	200	added ('OK')	application/rss+xml	etag:%22b1caa6e7dfc5118f85e6c210a02a7d68%22	http://localhost/wppetstore.com/comments/feed/	C:/My%20Web%20Sites/wpPetStore/localhost/wppetstore.com/comments/feed/index.html	(from http://localhost/wppetstore.com/)
13:55:32	3304/3304	---M--	200	added ('OK')	font/woff	etag:%22ce8-59bb6f9917d09%22	http://localhost/wppetstore.com/wp-content/themes/astra/assets/fonts/astra.woff	C:/My%20Web%20Sites/wpPetStore/localhost/wppetstore.com/wp-content/themes/astra/assets/fonts/astra.woff	(from http://localhost/wppetstore.com/)
13:55:32	3412/3412	---M--	200	added ('OK')	text/css	etag:%22d54-59bb6f98c83ee%22	http://localhost/wppetstore.com/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=2.2.1	C:/My%20Web%20Sites/wpPetStore/localhost/wppetstore.com/wp-content/themes/astra/assets/css/minified/menu-animation.min77e6.css	(from http://localhost/wppetstore.com/)
13:55:32	41467/41467	---M--	200	added ('OK')	text/css	etag:%22a1fb-596a0a3682b00%22	http://localhost/wppetstore.com/wp-includes/css/dist/block-library/style.min.css?ver=5.3.2	C:/My%20Web%20Sites/wpPetStore/localhost/wppetstore.com/wp-includes/css/dist/block-library/style.min9dff.css	(from http://localhost/wppetstore.com/)
13:55:34	20480/20480	---M--	200	added ('OK')	text/css	etag:%225000-59bb70313a2a4%22	http://localhost/wppetstore.com/wp-content/uploads/bb-plugin/icons/ultimate-icons/style.css?ver=2.2.6.3	C:/My%20Web%20Sites/wpPetStore/localhost/wppetstore.com/wp-content/uploads/bb-plugin/icons/ultimate-icons/stylef100.css	(from http://localhost/wppetstore.com/)
13:55:34	55967/55967	---M--	200	added ('OK')	text/css	etag:%22da9f-59bb6f5f8d527%22	http://localhost/wppetstore.com/wp-content/plugins/beaver-builder-lite-version/fonts/fontawesome/css/all.min.css?ver=2.2.6.3	C:/My%20Web%20Sites/wpPetStore/localhost/wppetstore.com/wp-content/plugins/beaver-builder-lite-version/fonts/fontawesome/css/all.minf100.css	(from http://localhost/wppetstore.com/)
13:55:36	26625/26625	---M--	200	added ('OK')	text/css	etag:%226801-59bb6f5f8f098%22	http://localhost/wppetstore.com/wp-content/plugins/beaver-builder-lite-version/fonts/fontawesome/css/v4-shims.min.css?ver=2.2.6.3	C:/My%20Web%20Sites/wpPetStore/localhost/wppetstore.com/wp-content/plugins/beaver-builder-lite-version/fonts/fontawesome/css/v4-shims.minf100.css	(from http://localhost/wppetstore.com/)
