date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:59:27	1053/1053	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Jan%202020%2005:59:26%20GMT	http://localhost/robots.txt		(from )
13:59:29	107005/107005	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Jan%202020%2005:59:26%20GMT	http://localhost/wpbarbershop.com/	C:/My%20Web%20Sites/wpbarbershop/localhost/wpbarbershop.com/index.html	(from )
13:59:30	85855/85855	---M--	200	added ('OK')	text/css	etag:%2214f5f-59bb6a8fb1410%22	http://localhost/wpbarbershop.com/wp-content/themes/astra/assets/css/minified/style.min.css?ver=2.2.1	C:/My%20Web%20Sites/wpbarbershop/localhost/wpbarbershop.com/wp-content/themes/astra/assets/css/minified/style.min77e6.css	(from http://localhost/wpbarbershop.com/)
13:59:31	1703/1703	---M--	200	added ('OK')	application/rss+xml	etag:%22c9902d34eee2442d645b3c373e58eecd%22	http://localhost/wpbarbershop.com/feed/	C:/My%20Web%20Sites/wpbarbershop/localhost/wpbarbershop.com/feed/index.html	(from http://localhost/wpbarbershop.com/)
13:59:31	1677/1677	---M--	200	added ('OK')	application/rss+xml	etag:%2283943f58baaae8cf7b28e09616b5510a%22	http://localhost/wpbarbershop.com/comments/feed/	C:/My%20Web%20Sites/wpbarbershop/localhost/wpbarbershop.com/comments/feed/index.html	(from http://localhost/wpbarbershop.com/)
13:59:31	3304/3304	---M--	200	added ('OK')	font/woff	etag:%22ce8-59bb6a8fe5aef%22	http://localhost/wpbarbershop.com/wp-content/themes/astra/assets/fonts/astra.woff	C:/My%20Web%20Sites/wpbarbershop/localhost/wpbarbershop.com/wp-content/themes/astra/assets/fonts/astra.woff	(from http://localhost/wpbarbershop.com/)
13:59:31	41467/41467	---M--	200	added ('OK')	text/css	etag:%22a1fb-596a0a3682b00%22	http://localhost/wpbarbershop.com/wp-includes/css/dist/block-library/style.min.css?ver=5.3.2	C:/My%20Web%20Sites/wpbarbershop/localhost/wpbarbershop.com/wp-includes/css/dist/block-library/style.min9dff.css	(from http://localhost/wpbarbershop.com/)
13:59:33	24741/24741	---M--	200	added ('OK')	text/css	etag:%2260a5-59bb6b7d98dd7%22	http://localhost/wpbarbershop.com/wp-content/plugins/wpforms-lite/assets/css/wpforms-base.css?ver=1.5.7	C:/My%20Web%20Sites/wpbarbershop/localhost/wpbarbershop.com/wp-content/plugins/wpforms-lite/assets/css/wpforms-base00e2.css	(from http://localhost/wpbarbershop.com/)
13:59:34	778/778	---M--	200	added ('OK')	text/css	etag:%2230a-59bb6b6d5757c%22	http://localhost/wpbarbershop.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.2.2	C:/My%20Web%20Sites/wpbarbershop/localhost/wpbarbershop.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor8d1e.css	(from http://localhost/wpbarbershop.com/)
13:59:34	14983/14983	---M--	200	added ('OK')	text/css	etag:%223a87-59bb6b5d4e26a%22	http://localhost/wpbarbershop.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.5.0	C:/My%20Web%20Sites/wpbarbershop/localhost/wpbarbershop.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mindeba.css	(from http://localhost/wpbarbershop.com/)
13:59:35	18468/18468	---M--	200	added ('OK')	text/css	etag:%224824-59bb6b5d0244e%22	http://localhost/wpbarbershop.com/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=2.8.3	C:/My%20Web%20Sites/wpbarbershop/localhost/wpbarbershop.com/wp-content/plugins/elementor/assets/lib/animations/animations.minf7ff.css	(from http://localhost/wpbarbershop.com/)
13:59:35	104269/104269	---M--	200	added ('OK')	text/css	etag:%221974d-59bb6b5bb18fd%22	http://localhost/wpbarbershop.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=2.8.3	C:/My%20Web%20Sites/wpbarbershop/localhost/wpbarbershop.com/wp-content/plugins/elementor/assets/css/frontend.minf7ff.css	(from http://localhost/wpbarbershop.com/)
13:59:37	55967/55967	---M--	200	added ('OK')	text/css	etag:%22da9f-59bb6b5d71250%22	http://localhost/wpbarbershop.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.7.0	C:/My%20Web%20Sites/wpbarbershop/localhost/wpbarbershop.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min3088.css	(from http://localhost/wpbarbershop.com/)
13:59:39	26625/26625	---M--	200	added ('OK')	text/css	etag:%226801-59bb6b5d85532%22	http://localhost/wpbarbershop.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.7.0	C:/My%20Web%20Sites/wpbarbershop/localhost/wpbarbershop.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min3088.css	(from http://localhost/wpbarbershop.com/)
13:59:39	70664/70664	---M--	200	added ('OK')	text/css	etag:%2211408-59bec596bfefb%22	http://localhost/wpbarbershop.com/wp-content/uploads/elementor/css/post-9.css?ver=1578814298	C:/My%20Web%20Sites/wpbarbershop/localhost/wpbarbershop.com/wp-content/uploads/elementor/css/post-9afd4.css	(from http://localhost/wpbarbershop.com/)
13:59:41	9907/9907	---M--	200	added ('OK')	text/css	etag:%2226b3-59bec3e250749%22	http://localhost/wpbarbershop.com/wp-content/uploads/elementor/css/post-165.css?ver=1578813840	C:/My%20Web%20Sites/wpbarbershop/localhost/wpbarbershop.com/wp-content/uploads/elementor/css/post-165d34a.css	(from http://localhost/wpbarbershop.com/)
13:59:41	54540/54540	---M--	200	added ('OK')	text/css	etag:%22d50c-59bb6b5d7a4c7%22	http://localhost/wpbarbershop.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.9.0	C:/My%20Web%20Sites/wpbarbershop/localhost/wpbarbershop.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.minad76.css	(from http://localhost/wpbarbershop.com/)
13:59:43	667/667	---M--	200	added ('OK')	text/css	etag:%2229b-59bb6b5d7fb26%22	http://localhost/wpbarbershop.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.9.0	C:/My%20Web%20Sites/wpbarbershop/localhost/wpbarbershop.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.minad76.css	(from http://localhost/wpbarbershop.com/)
