date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:27:00	1053/1053	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Jan%202020%2005:26:59%20GMT	http://localhost/robots.txt		(from )
13:27:02	76896/76896	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Jan%202020%2005:26:59%20GMT	http://localhost/wprestaraunt.com/	C:/My%20Web%20Sites/wprestaraunt/localhost/wprestaraunt.com/index.html	(from )
13:27:02	85855/85855	---M--	200	added ('OK')	text/css	etag:%2214f5f-59ba3dc84cc01%22	http://localhost/wprestaraunt.com/wp-content/themes/astra/assets/css/minified/style.min.css?ver=2.2.1	C:/My%20Web%20Sites/wprestaraunt/localhost/wprestaraunt.com/wp-content/themes/astra/assets/css/minified/style.min77e6.css	(from http://localhost/wprestaraunt.com/)
13:27:04	1714/1714	---M--	200	added ('OK')	application/rss+xml	etag:%22a01196e1993f1f5bf099e35dd3b12198%22	http://localhost/wprestaraunt.com/feed/	C:/My%20Web%20Sites/wprestaraunt/localhost/wprestaraunt.com/feed/index.html	(from http://localhost/wprestaraunt.com/)
13:27:04	3304/3304	---M--	200	added ('OK')	font/woff	etag:%22ce8-59ba3dc879be6%22	http://localhost/wprestaraunt.com/wp-content/themes/astra/assets/fonts/astra.woff	C:/My%20Web%20Sites/wprestaraunt/localhost/wprestaraunt.com/wp-content/themes/astra/assets/fonts/astra.woff	(from http://localhost/wprestaraunt.com/)
13:27:04	1706/1706	---M--	200	added ('OK')	application/rss+xml	etag:%228e9af0ecfa5d9dbe33f7150a7ade092c%22	http://localhost/wprestaraunt.com/comments/feed/	C:/My%20Web%20Sites/wprestaraunt/localhost/wprestaraunt.com/comments/feed/index.html	(from http://localhost/wprestaraunt.com/)
13:27:04	3412/3412	---M--	200	added ('OK')	text/css	etag:%22d54-59ba3dc8496f6%22	http://localhost/wprestaraunt.com/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=2.2.1	C:/My%20Web%20Sites/wprestaraunt/localhost/wprestaraunt.com/wp-content/themes/astra/assets/css/minified/menu-animation.min77e6.css	(from http://localhost/wprestaraunt.com/)
13:27:04	41467/41467	---M--	200	added ('OK')	text/css	etag:%22a1fb-596a0a3682b00%22	http://localhost/wprestaraunt.com/wp-includes/css/dist/block-library/style.min.css?ver=5.3.2	C:/My%20Web%20Sites/wprestaraunt/localhost/wprestaraunt.com/wp-includes/css/dist/block-library/style.min9dff.css	(from http://localhost/wprestaraunt.com/)
13:27:06	1645/1645	---M--	200	added ('OK')	text/css	etag:%2266d-59ba3e1a3f20b%22	http://localhost/wprestaraunt.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.6	C:/My%20Web%20Sites/wprestaraunt/localhost/wprestaraunt.com/wp-content/plugins/contact-form-7/includes/css/stylesb62d.css	(from http://localhost/wprestaraunt.com/)
13:27:06	931/931	---M--	200	added ('OK')	text/css	etag:%223a3-59ba3dc8175f6%22	http://localhost/wprestaraunt.com/wp-content/themes/astra/assets/css/minified/compatibility/contact-form-7.min.css?ver=2.2.1	C:/My%20Web%20Sites/wprestaraunt/localhost/wprestaraunt.com/wp-content/themes/astra/assets/css/minified/compatibility/contact-form-7.min77e6.css	(from http://localhost/wprestaraunt.com/)
13:27:06	24741/24741	---M--	200	added ('OK')	text/css	etag:%2260a5-59ba3f788aad4%22	http://localhost/wprestaraunt.com/wp-content/plugins/wpforms-lite/assets/css/wpforms-base.css?ver=1.5.7	C:/My%20Web%20Sites/wprestaraunt/localhost/wprestaraunt.com/wp-content/plugins/wpforms-lite/assets/css/wpforms-base00e2.css	(from http://localhost/wprestaraunt.com/)
13:27:07	778/778	---M--	200	added ('OK')	text/css	etag:%2230a-59ba3f880f5a2%22	http://localhost/wprestaraunt.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.2.2	C:/My%20Web%20Sites/wprestaraunt/localhost/wprestaraunt.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor8d1e.css	(from http://localhost/wprestaraunt.com/)
13:27:07	14983/14983	---M--	200	added ('OK')	text/css	etag:%223a87-59ba3f5d915ce%22	http://localhost/wprestaraunt.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.5.0	C:/My%20Web%20Sites/wprestaraunt/localhost/wprestaraunt.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mindeba.css	(from http://localhost/wprestaraunt.com/)
13:27:08	18468/18468	---M--	200	added ('OK')	text/css	etag:%224824-59ba3f5d46dc5%22	http://localhost/wprestaraunt.com/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=2.8.3	C:/My%20Web%20Sites/wprestaraunt/localhost/wprestaraunt.com/wp-content/plugins/elementor/assets/lib/animations/animations.minf7ff.css	(from http://localhost/wprestaraunt.com/)
13:27:08	104269/104269	---M--	200	added ('OK')	text/css	etag:%221974d-59ba3f5bc2d95%22	http://localhost/wprestaraunt.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=2.8.3	C:/My%20Web%20Sites/wprestaraunt/localhost/wprestaraunt.com/wp-content/plugins/elementor/assets/css/frontend.minf7ff.css	(from http://localhost/wprestaraunt.com/)
13:27:10	55967/55967	---M--	200	added ('OK')	text/css	etag:%22da9f-59ba3f5db9525%22	http://localhost/wprestaraunt.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.7.0	C:/My%20Web%20Sites/wprestaraunt/localhost/wprestaraunt.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min3088.css	(from http://localhost/wprestaraunt.com/)
13:27:12	26625/26625	---M--	200	added ('OK')	text/css	etag:%226801-59ba3f5dcbfcb%22	http://localhost/wprestaraunt.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.7.0	C:/My%20Web%20Sites/wprestaraunt/localhost/wprestaraunt.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min3088.css	(from http://localhost/wprestaraunt.com/)
13:27:12	55/55	---M--	200	added ('OK')	text/css	etag:%2237-59ba427372cf9%22	http://localhost/wprestaraunt.com/wp-content/uploads/elementor/css/global.css?ver=1578504218	C:/My%20Web%20Sites/wprestaraunt/localhost/wprestaraunt.com/wp-content/uploads/elementor/css/global8f66.css	(from http://localhost/wprestaraunt.com/)
13:27:12	68792/68792	---M--	200	added ('OK')	text/css	etag:%2210cb8-59be044392611%22	http://localhost/wprestaraunt.com/wp-content/uploads/elementor/css/post-8.css?ver=1578762403	C:/My%20Web%20Sites/wprestaraunt/localhost/wprestaraunt.com/wp-content/uploads/elementor/css/post-80d0e.css	(from http://localhost/wprestaraunt.com/)
13:27:14	3448/3448	---M--	200	added ('OK')	text/css	etag:%22d78-59be011a1a102%22	http://localhost/wprestaraunt.com/wp-content/uploads/elementor/css/post-550.css?ver=1578761554	C:/My%20Web%20Sites/wprestaraunt/localhost/wprestaraunt.com/wp-content/uploads/elementor/css/post-5507048.css	(from http://localhost/wprestaraunt.com/)
13:27:14	54540/54540	---M--	200	added ('OK')	text/css	etag:%22d50c-59ba3f5dc1f7f%22	http://localhost/wprestaraunt.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.9.0	C:/My%20Web%20Sites/wprestaraunt/localhost/wprestaraunt.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.minad76.css	(from http://localhost/wprestaraunt.com/)
13:27:16	667/667	---M--	200	added ('OK')	text/css	etag:%2229b-59ba3f5dc6687%22	http://localhost/wprestaraunt.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.9.0	C:/My%20Web%20Sites/wprestaraunt/localhost/wprestaraunt.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.minad76.css	(from http://localhost/wprestaraunt.com/)
13:27:16	660/660	---M--	200	added ('OK')	text/css	etag:%22294-59ba3f5dbb47b%22	http://localhost/wprestaraunt.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.9.0	C:/My%20Web%20Sites/wprestaraunt/localhost/wprestaraunt.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.minad76.css	(from http://localhost/wprestaraunt.com/)
13:27:18	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-5333ff613c400%22	http://localhost/wprestaraunt.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/wprestaraunt/localhost/wprestaraunt.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://localhost/wprestaraunt.com/)
13:27:18	14974/14974	---M--	200	added ('OK')	application/javascript	etag:%223a7e-59ba3f5df0764%22	http://localhost/wprestaraunt.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=3.7.0	C:/My%20Web%20Sites/wprestaraunt/localhost/wprestaraunt.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min3088.js	(from http://localhost/wprestaraunt.com/)
13:27:22	864/864	---M--	200	added ('OK')	text/xml	date:Sat,%2025%20Jan%202020%2005:27:17%20GMT	http://localhost/wprestaraunt.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/wprestaraunt/localhost/wprestaraunt.com/xmlrpc0db0.php	(from http://localhost/wprestaraunt.com/)
13:27:23	2237/2237	---M--	200	added ('OK')	application/json	date:Sat,%2025%20Jan%202020%2005:27:22%20GMT	http://localhost/wprestaraunt.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwprestaraunt.com%2F	C:/My%20Web%20Sites/wprestaraunt/localhost/wprestaraunt.com/wp-json/oembed/1.0/embed449d.json	(from http://localhost/wprestaraunt.com/)
