date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:49	1053/1053	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Jan%202020%2005:50:48%20GMT	http://localhost/robots.txt		(from )
13:50:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Jan%202020%2005:50:48%20GMT	http://localhost/wpzoo.com/	C:/My%20Web%20Sites/wpzoo/localhost/wpzoo.com/index.html	(from )
13:50:53	69157/69157	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Jan%202020%2005:50:49%20GMT	http://localhost/wpZoo.com/	C:/My%20Web%20Sites/wpzoo/localhost/wpzoo.com/index.html	(from )
13:50:53	85855/85855	---M--	200	added ('OK')	text/css	etag:%2214f5f-59b8fc0a1eb00%22	http://localhost/wpZoo.com/wp-content/themes/astra/assets/css/minified/style.min.css?ver=2.2.1	C:/My%20Web%20Sites/wpzoo/localhost/wpZoo.com/wp-content/themes/astra/assets/css/minified/style.min77e6.css	(from http://localhost/wpZoo.com/)
13:50:54	3304/3304	---M--	200	added ('OK')	font/woff	etag:%22ce8-59b8fc0ad3e73%22	http://localhost/wpZoo.com/wp-content/themes/astra/assets/fonts/astra.woff	C:/My%20Web%20Sites/wpzoo/localhost/wpZoo.com/wp-content/themes/astra/assets/fonts/astra.woff	(from http://localhost/wpZoo.com/)
13:50:55	1643/1643	---M--	200	added ('OK')	application/rss+xml	etag:%22d35b0a4bee0bf4256e46ccb5cf1b5b9b%22	http://localhost/wpZoo.com/feed/	C:/My%20Web%20Sites/wpzoo/localhost/wpZoo.com/feed/index.html	(from http://localhost/wpZoo.com/)
13:50:55	1649/1649	---M--	200	added ('OK')	application/rss+xml	etag:%22166554f2d7c3579e7cb391cdc747ac79%22	http://localhost/wpZoo.com/comments/feed/	C:/My%20Web%20Sites/wpzoo/localhost/wpZoo.com/comments/feed/index.html	(from http://localhost/wpZoo.com/)
13:50:55	3412/3412	---M--	200	added ('OK')	text/css	etag:%22d54-59b8fc0a1b836%22	http://localhost/wpZoo.com/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=2.2.1	C:/My%20Web%20Sites/wpzoo/localhost/wpZoo.com/wp-content/themes/astra/assets/css/minified/menu-animation.min77e6.css	(from http://localhost/wpZoo.com/)
13:50:55	41467/41467	---M--	200	added ('OK')	text/css	etag:%22a1fb-596a0a3682b00%22	http://localhost/wpZoo.com/wp-includes/css/dist/block-library/style.min.css?ver=5.3.2	C:/My%20Web%20Sites/wpzoo/localhost/wpZoo.com/wp-includes/css/dist/block-library/style.min9dff.css	(from http://localhost/wpZoo.com/)
13:50:57	1645/1645	---M--	200	added ('OK')	text/css	etag:%2266d-59b8fd6d98a2f%22	http://localhost/wpZoo.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.6	C:/My%20Web%20Sites/wpzoo/localhost/wpZoo.com/wp-content/plugins/contact-form-7/includes/css/stylesb62d.css	(from http://localhost/wpZoo.com/)
